pathway,pval,padj,log2err,ES,NES,size,leadingEdge,direction,Pathway
HALLMARK_ADIPOGENESIS,2.1631869599985817e-5,0.0010815934799992908,0.5756102610711286,0.5986118829152699,1.729766307194889,196,,Positive,Adipogenesis
HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.0014612436768100595,0.03653109192025149,0.45505986738722953,0.5240513316077757,1.5179829670688214,199,,Positive,Oxidative Phosphorylation
HALLMARK_ANDROGEN_RESPONSE,0.011611014166666581,0.1603377752423402,0.3807304007227924,0.5589077599395884,1.5021461045589648,97,,Positive,Androgen Response
HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.012827022019387216,0.1603377752423402,0.3807304007227924,0.48010437459528266,1.3923411371388004,193,,Positive,Tnfa Signaling via Nfkb
HALLMARK_XENOBIOTIC_METABOLISM,0.020291844364944835,0.20291844364944833,0.35248785758361917,0.4826387707621386,1.3978260643173033,192,,Positive,Xenobiotic Metabolism
HALLMARK_APICAL_JUNCTION,0.025752835003529626,0.21279043018173455,0.35248785758361917,0.47582441354287097,1.3711932098074961,188,,Positive,Apical Junction
HALLMARK_UV_RESPONSE_DN,0.052545155993431854,0.21279043018173455,0.2529611230696109,0.4618354436660115,1.3012883159967166,144,,Positive,Uv Response Dn
HALLMARK_INTERFERON_GAMMA_RESPONSE,0.03740177715802318,0.21279043018173455,0.3217759180753611,-0.4226426559752577,-1.2946228689499022,189,,Negative,Interferon Gamma Response
HALLMARK_IL2_STAT5_SIGNALING,0.04878048780487805,0.21279043018173455,0.2616635217115731,0.44779079085286133,1.291275772426539,190,,Positive,Il2 Stat5 Signaling
HALLMARK_KRAS_SIGNALING_DN,0.044850498338870434,0.21279043018173455,0.27650059925447157,0.4541007741146751,1.290881047385214,167,,Positive,Kras Signaling Dn
HALLMARK_INTERFERON_ALPHA_RESPONSE,0.05580227145088366,0.21279043018173455,0.3217759180753611,-0.457579766623046,-1.2829412197353558,95,,Negative,Interferon Alpha Response
HALLMARK_HYPOXIA,0.05958132045088567,0.21279043018173455,0.2343926472946861,0.43958422362628596,1.2731457018635346,194,,Positive,Hypoxia
