sample_id,Apoptosis_Stress,IL6_JAK_STAT3,Inflammatory_Response,Interferon_Response,Proliferation_Cell_Cycle,TNFA_NFKB,cell,dex,albut,run
SRR1039508,1.4818378333127182,1.9378477964872947,1.1731162658208858,1.3567447961718224,1.2700119968025598,1.3891017798639151,N61311,untrt,untrt,SRR1039508
SRR1039509,1.5180287033641908,1.9096804844143913,1.1625831190087166,1.1112787519165668,1.2343838280100592,1.460595029388655,N61311,trt,untrt,SRR1039509
SRR1039512,1.473569348572006,1.9660470715035174,1.235350390536202,1.2574576167354372,1.1976860928639421,1.4429657667549691,N052611,untrt,untrt,SRR1039512
SRR1039513,1.4589854837637277,1.8316621535316946,1.1741785105542892,1.1780487904824262,1.145819169332902,1.4129858120625094,N052611,trt,untrt,SRR1039513
SRR1039516,1.42980396632196,2.0218406980756263,1.3431072956460912,1.2000560813863141,1.1846338774696807,1.4013948195476782,N080611,untrt,untrt,SRR1039516
SRR1039517,1.4832515830793338,1.970078906249016,1.3310242122136124,1.0218406980756265,1.1298875430656647,1.4239800383961656,N080611,trt,untrt,SRR1039517
SRR1039520,1.4570896370467858,1.8815540296717304,1.1836478029385895,1.2135064453751108,1.2236611988254071,1.3872506919637124,N061011,untrt,untrt,SRR1039520
SRR1039521,1.4917194670935479,1.8251931266987529,1.1463776598738262,1.127109242987638,1.1142283664950152,1.411354414316017,N061011,trt,untrt,SRR1039521
